enrollee_id,target,mobility_persona,last_job_change_bin_norm,training_hours_bin,education_level,experience_clean,company_size_bin
8949,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Mid
29725,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,15.0,Small
11561,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,5.0,Mid
33241,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,0.0,Mid
666,0.0,Anchored Contributor,4-5 years,Low (0-25),Masters,21.0,Small
21651,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,11.0,Mid
28806,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,5.0,Small
402,1.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,13.0,Very Small
27107,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,7.0,Small
699,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,17.0,Enterprise
29452,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,2.0,Mid
23853,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,5.0,Enterprise
25619,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,21.0,Enterprise
5826,0.0,Early-Career Explorer,<=1 year,Low (0-25),Unknown,2.0,Mid
8722,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,5.0,Mid
6588,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,16.0,Very Small
4167,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,1.0,Small
5764,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,2.0,Enterprise
2156,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,7.0,Enterprise
11399,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,4.0,Mid
31972,0.0,Early-Career Explorer,<=1 year,High (51-100),Masters,11.0,Mid
19061,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Masters,11.0,Mid
6491,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,10.0,Mid
7041,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,0.0,Enterprise
22767,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,5.0,Enterprise
14505,0.0,Early-Career Explorer,<=1 year,Low (0-25),High School,4.0,Mid
17139,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,14.0,Large
28476,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,5.0,Mid
21538,1.0,Early-Career Explorer,<=1 year,Low (0-25),High School,11.0,Very Small
10408,1.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,18.0,Small
14928,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,21.0,Mid
22293,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,19.0,Enterprise
4324,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,5.0,Mid
26966,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,21.0,Mid
26494,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,12.0,Enterprise
4866,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,10.0,Very Small
12726,0.0,Early-Career Explorer,<=1 year,Very High (101+),High School,1.0,Enterprise
10164,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Phd,21.0,Mid
8612,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,12.0,Mid
24659,0.0,Early-Career Explorer,<=1 year,Very High (101+),Unknown,3.0,Mid
2547,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,16.0,Enterprise
13854,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),High School,4.0,Very Small
31654,1.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,6.0,Small
13643,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,9.0,Small
5590,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,9.0,Enterprise
22452,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,5.0,Mid
9006,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,5.0,Mid
25987,1.0,Anchored Contributor,4-5 years,High (51-100),Graduate,19.0,Enterprise
4476,1.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,15.0,Mid
25103,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,11.0,Very Small
5568,1.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,4.0,Mid
2195,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,10.0,Mid
30533,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,5.0,Enterprise
28512,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,3.0,Very Small
1023,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),High School,4.0,Enterprise
12253,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,21.0,Mid
25296,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,2.0,Small
13238,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,21.0,Mid
13478,1.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,2.0,Very Small
18578,1.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,21.0,Mid
29975,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,6.0,Mid
26516,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,6.0,Mid
24690,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,13.0,Very Small
8433,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Masters,21.0,Mid
9572,0.0,Early-Career Explorer,<=1 year,High (51-100),High School,3.0,Mid
5878,1.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,10.0,Small
25695,0.0,Anchored Contributor,4-5 years,Low (0-25),Masters,4.0,Enterprise
9645,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,15.0,Mid
12730,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,14.0,Large
4830,1.0,Early-Career Explorer,<=1 year,Very High (101+),Unknown,2.0,Mid
20970,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Mid
17271,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,0.0,Mid
12731,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,2.0,Very Small
10908,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,5.0,Mid
29117,0.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,0.0,Mid
3686,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,5.0,Mid
22683,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Masters,5.0,Small
22134,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,3.0,Mid
31765,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,9.0,Enterprise
31449,0.0,Early-Career Explorer,<=1 year,Low (0-25),Masters,2.0,Very Small
5987,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,15.0,Small
21762,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,21.0,Small
22070,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,21.0,Mid
25413,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,5.0,Very Small
5902,0.0,Early-Career Explorer,<=1 year,High (51-100),Masters,4.0,Small
28403,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,15.0,Very Small
30937,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,0.0,Very Small
28751,0.0,Mid-Career Plateau Risk,2-3 years,High (51-100),High School,4.0,Mid
29290,0.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Masters,11.0,Mid
32401,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,6.0,Mid
19128,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,4.0,Mid
29036,0.0,Early-Career Explorer,<=1 year,Very High (101+),High School,3.0,Mid
16869,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,3.0,Mid
10497,1.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,5.0,Very Small
18099,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,10.0,Mid
12081,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,9.0,Small
7364,0.0,Early-Career Explorer,<=1 year,Very High (101+),High School,2.0,Mid
11184,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,2.0,Mid
7016,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,6.0,Small
8695,1.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,6.0,Very Small
6172,1.0,Early-Career Explorer,<=1 year,Low (0-25),Graduate,8.0,Mid
14672,0.0,Early-Career Explorer,<=1 year,Very High (101+),Masters,21.0,Mid
18257,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,11.0,Large
24493,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,5.0,Large
1180,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,12.0,Enterprise
28627,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,21.0,Small
8168,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Masters,9.0,Enterprise
10473,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,2.0,Very Small
25349,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,21.0,Enterprise
5220,0.0,Anchored Contributor,4-5 years,Moderate (26-50),Graduate,21.0,Mid
4789,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,8.0,Small
11338,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Graduate,10.0,Very Small
27963,1.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,4.0,Mid
8571,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,2.0,Very Small
16303,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,6.0,Small
20576,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Enterprise
32966,1.0,Mid-Career Plateau Risk,2-3 years,Moderate (26-50),Graduate,3.0,Mid
21199,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,7.0,Very Small
18819,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,9.0,Very Small
14199,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,10.0,Small
7666,0.0,Anchored Contributor,4-5 years,High (51-100),Graduate,11.0,Small
13915,1.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Phd,21.0,Mid
10555,0.0,Mid-Career Plateau Risk,2-3 years,Low (0-25),Graduate,12.0,Mid
16040,0.0,Early-Career Explorer,<=1 year,Very High (101+),Graduate,6.0,Mid
32826,0.0,Early-Career Explorer,<=1 year,Moderate (26-50),Masters,7.0,Mid
13253,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Graduate,11.0,Very Small
15637,0.0,Early-Career Explorer,<=1 year,High (51-100),Graduate,3.0,Mid
28074,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,21.0,Mid
23012,0.0,Early-Career Explorer,<=1 year,High (51-100),Masters,15.0,Small
16110,1.0,Mid-Career Plateau Risk,2-3 years,High (51-100),Graduate,6.0,Small
3921,0.0,Anchored Contributor,4-5 years,Low (0-25),Phd,21.0,Enterprise
24530,0.0,Anchored Contributor,4-5 years,Low (0-25),Graduate,12.0,Mid
1924,0.0,Mid-Career Plateau Risk,2-3 years,Very High (101+),Masters,21.0,Mid
32776,0.0,Anchored Contributor,4-5 years,Very High (101+),Graduate,20.0,Mid
